IDCLIENTE,SEGMENTO,EDAD,PRODUCTO
753719,A2,MAYORES A 65 AÑOS,CTA
377839,A2,46 A 65 AÑOS,CTA
1661789,B1,EMPRESA,CTA
3878316,A3,23 A 30 AÑOS,CTA & TC
4239905,A3,18 A 22 AÑOS,CTA
2132288,A3,23 A 30 AÑOS,CTA & TC
3002767,A2,23 A 30 AÑOS,CTA
4393804,A3,23 A 30 AÑOS,CTA
1115113,A3,MAYORES A 65 AÑOS,CTA
1171010,A2,MAYORES A 65 AÑOS,CTA & TC
1125538,A2,MAYORES A 65 AÑOS,CTA
671532,A1,MAYORES A 65 AÑOS,CTA
503116,A1,MAYORES A 65 AÑOS,CTA
550879,A1,MAYORES A 65 AÑOS,CTA & TC
57044,A1,MAYORES A 65 AÑOS,CTA & TC
121491,A2,MAYORES A 65 AÑOS,CTA
223019,A2,MAYORES A 65 AÑOS,TC
79953,A2,MAYORES A 65 AÑOS,CTA
305611,A3,MAYORES A 65 AÑOS,CTA
3641701,A3,MAYORES A 65 AÑOS,CTA
295399,A1,46 A 65 AÑOS,CTA & TC
1218759,A2,46 A 65 AÑOS,CTA
1744591,A3,46 A 65 AÑOS,CTA
426087,A3,46 A 65 AÑOS,CTA
3843992,A3,36 A 45 AÑOS,CTA & TC
1166554,A1,46 A 65 AÑOS,CTA & TC
4185829,A3,46 A 65 AÑOS,CTA
3021813,A2,46 A 65 AÑOS,CTA
3313321,A2,46 A 65 AÑOS,TC
4094385,A3,23 A 30 AÑOS,CTA
3147276,A3,23 A 30 AÑOS,CTA
3803922,B1,EMPRESA,CTA & TC
3731915,A2,31 A 35 AÑOS,CTA
2562904,A3,31 A 35 AÑOS,CTA & TC
1355238,A3,31 A 35 AÑOS,CTA
1030978,B1,EMPRESA,CTA
2886923,A3,31 A 35 AÑOS,CTA & TC
3892403,A3,31 A 35 AÑOS,CTA
2750313,A3,23 A 30 AÑOS,CTA
3463510,B1,EMPRESA,CTA
3482066,P2,EMPRESA,CTA
798985,A2,46 A 65 AÑOS,TC
800464,A1,46 A 65 AÑOS,CTA & TC
871844,A3,46 A 65 AÑOS,CTA
3715761,A3,46 A 65 AÑOS,CTA & TC
1086259,A1,46 A 65 AÑOS,CTA
1293904,A1,36 A 45 AÑOS,CTA
881514,A3,36 A 45 AÑOS,CTA & TC
2006215,B1,EMPRESA,CTA
3498512,A3,36 A 45 AÑOS,CTA
1062219,A2,46 A 65 AÑOS,CTA & TC
3303881,A2,23 A 30 AÑOS,CTA & TC
4380831,A2,23 A 30 AÑOS,CTA
3597861,B1,EMPRESA,CTA
3659892,A3,23 A 30 AÑOS,CTA
2331018,A3,31 A 35 AÑOS,CTA & TC
2896500,A3,31 A 35 AÑOS,CTA & TC
2655639,A3,31 A 35 AÑOS,CTA & TC
4323395,E3,EMPRESA,CTA
4026000,B1,EMPRESA,CTA & TC
3751892,P2,EMPRESA,CTA
639933,B1,EMPRESA,CTA
3844979,B1,EMPRESA,CTA
1077332,B1,EMPRESA,CTA
212901,A1,46 A 65 AÑOS,CTA & TC
246577,A2,46 A 65 AÑOS,CTA
138784,A3,46 A 65 AÑOS,CTA
195102,A3,46 A 65 AÑOS,CTA
1470526,A2,46 A 65 AÑOS,CTA
3791796,E2,EMPRESA,CTA
1021697,A3,MAYORES A 65 AÑOS,CTA
653418,A2,MAYORES A 65 AÑOS,CTA
659711,A3,MAYORES A 65 AÑOS,CTA & TC
4077327,A3,MAYORES A 65 AÑOS,CTA
595845,A2,MAYORES A 65 AÑOS,CTA
638272,B1,EMPRESA,CTA
476249,A3,MAYORES A 65 AÑOS,CTA
491999,A2,MAYORES A 65 AÑOS,CTA
545214,A2,MAYORES A 65 AÑOS,TC
437134,A2,46 A 65 AÑOS,CTA & TC
396853,A2,46 A 65 AÑOS,CTA
353614,A3,46 A 65 AÑOS,CTA
934769,A3,46 A 65 AÑOS,CTA & TC
1244225,A1,46 A 65 AÑOS,CTA
1106417,A3,46 A 65 AÑOS,CTA
474641,B1,EMPRESA,CTA & TC
198880,A2,MAYORES A 65 AÑOS,CTA
973365,A3,46 A 65 AÑOS,CTA & TC
437521,A2,46 A 65 AÑOS,CTA & TC
524057,A3,MAYORES A 65 AÑOS,CTA
284191,A2,46 A 65 AÑOS,CTA & TC
410982,A2,46 A 65 AÑOS,CTA
406241,A2,MAYORES A 65 AÑOS,CTA
8218,A2,46 A 65 AÑOS,CTA
1055815,A2,46 A 65 AÑOS,CTA
4255595,A3,46 A 65 AÑOS,CTA
781780,A3,46 A 65 AÑOS,CTA
597340,A2,MAYORES A 65 AÑOS,CTA
512018,A1,46 A 65 AÑOS,CTA & TC
799060,A1,46 A 65 AÑOS,CTA & TC
2820549,A3,31 A 35 AÑOS,CTA
4124190,A3,23 A 30 AÑOS,CTA
3842991,A3,31 A 35 AÑOS,CTA
3799723,B1,EMPRESA,CTA & TC
2404206,B1,EMPRESA,CTA
3731403,A3,31 A 35 AÑOS,CTA
2939965,A2,31 A 35 AÑOS,CTA & TC
2526911,A3,31 A 35 AÑOS,CTA & TC
1797491,A2,36 A 45 AÑOS,CTA
1732746,A3,36 A 45 AÑOS,CTA
1280121,A2,36 A 45 AÑOS,CTA
538360,A3,36 A 45 AÑOS,CTA
3595817,B1,EMPRESA,CTA
4026002,A3,23 A 30 AÑOS,CTA
3868416,P1,EMPRESA,CTA & TC
4079826,A3,23 A 30 AÑOS,CTA
3811560,A3,23 A 30 AÑOS,CTA
2693995,A1,23 A 30 AÑOS,CTA
1528754,A3,31 A 35 AÑOS,CTA
3957912,A3,36 A 45 AÑOS,TC
2520330,A2,31 A 35 AÑOS,CTA
1216566,B1,EMPRESA,CTA & TC
547508,A1,46 A 65 AÑOS,CTA & TC
4149895,A3,46 A 65 AÑOS,CTA
2707529,A3,MAYORES A 65 AÑOS,CTA
32301,A1,MAYORES A 65 AÑOS,CTA & TC
708390,A2,46 A 65 AÑOS,CTA
1913167,A2,46 A 65 AÑOS,CTA
789547,A1,46 A 65 AÑOS,CTA
1181467,A3,46 A 65 AÑOS,CTA & TC
991824,A1,46 A 65 AÑOS,CTA & TC
1103416,A2,46 A 65 AÑOS,CTA & TC
2416468,A3,46 A 65 AÑOS,CTA
2773393,A3,46 A 65 AÑOS,CTA
3622083,A3,36 A 45 AÑOS,CTA
2679630,A2,31 A 35 AÑOS,CTA & TC
2713424,A3,23 A 30 AÑOS,CTA
3222816,A3,23 A 30 AÑOS,CTA
970354,A3,36 A 45 AÑOS,CTA & TC
65731,B1,EMPRESA,CTA
4240861,A3,31 A 35 AÑOS,CTA
898780,P2,EMPRESA,CTA & TC
2056739,B1,EMPRESA,CTA & TC
247851,A3,MAYORES A 65 AÑOS,CTA
471088,A2,MAYORES A 65 AÑOS,CTA
518909,A2,MAYORES A 65 AÑOS,CTA & TC
252022,A3,MAYORES A 65 AÑOS,CTA
233672,A1,MAYORES A 65 AÑOS,CTA & TC
168219,A1,MAYORES A 65 AÑOS,CTA & TC
125734,A3,MAYORES A 65 AÑOS,CTA
178601,A1,MAYORES A 65 AÑOS,CTA & TC
158011,A1,MAYORES A 65 AÑOS,CTA & TC
121442,A2,MAYORES A 65 AÑOS,CTA
3470244,A3,OTROS NO IDENTIFICADOS,CTA
519554,A3,OTROS NO IDENTIFICADOS,CTA
152994,A2,OTROS NO IDENTIFICADOS,CTA & TC
1204877,B1,EMPRESA,CTA & TC
1601635,P2,EMPRESA,CTA
1179506,P2,EMPRESA,CTA
1211953,E1,EMPRESA,CTA & TC
3203688,B1,EMPRESA,CTA & TC
886866,A2,MAYORES A 65 AÑOS,CTA
845367,B1,EMPRESA,CTA & TC
1163120,A2,MAYORES A 65 AÑOS,CTA
648362,A1,MAYORES A 65 AÑOS,CTA & TC
746904,A3,MAYORES A 65 AÑOS,CTA
97902,A3,MAYORES A 65 AÑOS,CTA
1323678,A2,MAYORES A 65 AÑOS,CTA
1014760,A1,MAYORES A 65 AÑOS,CTA
1197344,A2,MAYORES A 65 AÑOS,TC
1258457,A3,MAYORES A 65 AÑOS,CTA
2110603,A2,MAYORES A 65 AÑOS,CTA
1698687,A1,MAYORES A 65 AÑOS,CTA
38336,A3,MAYORES A 65 AÑOS,CTA
63961,A3,MAYORES A 65 AÑOS,CTA
1121297,A2,MAYORES A 65 AÑOS,CTA & TC
1200000,A2,MAYORES A 65 AÑOS,CTA
377607,A1,MAYORES A 65 AÑOS,CTA & TC
2333853,A1,46 A 65 AÑOS,CTA & TC
621565,A3,46 A 65 AÑOS,CTA & TC
641140,A1,46 A 65 AÑOS,CTA
456091,A3,46 A 65 AÑOS,CTA
1613356,P1,EMPRESA,TC
1777009,E3,EMPRESA,CTA & TC
1042504,B1,EMPRESA,TC
382112,A2,MAYORES A 65 AÑOS,CTA & TC
1203213,P1,EMPRESA,CTA
2547104,A2,46 A 65 AÑOS,CTA
2603944,A3,46 A 65 AÑOS,CTA & TC
3784792,A3,46 A 65 AÑOS,CTA
1173211,A2,46 A 65 AÑOS,CTA
1468373,A3,46 A 65 AÑOS,CTA
816685,A2,46 A 65 AÑOS,CTA
2093812,A3,46 A 65 AÑOS,CTA & TC
1042414,A3,46 A 65 AÑOS,CTA
367689,A3,46 A 65 AÑOS,CTA
3258047,A3,31 A 35 AÑOS,CTA
4135775,A3,36 A 45 AÑOS,CTA
4099953,A3,31 A 35 AÑOS,CTA
2403684,B1,EMPRESA,CTA & TC
1930348,A2,36 A 45 AÑOS,CTA
2197,A3,36 A 45 AÑOS,CTA & TC
1570070,A3,36 A 45 AÑOS,CTA & TC
1620849,A2,36 A 45 AÑOS,CTA
1464568,A3,36 A 45 AÑOS,CTA
4032848,A3,46 A 65 AÑOS,CTA
2938891,A3,36 A 45 AÑOS,CTA
1253139,A1,46 A 65 AÑOS,CTA & TC
2852674,A3,36 A 45 AÑOS,CTA & TC
1388746,A2,36 A 45 AÑOS,CTA & TC
2762428,A2,23 A 30 AÑOS,CTA & TC
2918469,A3,36 A 45 AÑOS,CTA
3712342,A1,31 A 35 AÑOS,CTA & TC
2261934,B1,EMPRESA,CTA & TC
4090656,A3,31 A 35 AÑOS,CTA
2373277,A2,31 A 35 AÑOS,CTA
2440759,A3,36 A 45 AÑOS,CTA
823621,A1,36 A 45 AÑOS,CTA & TC
1084372,A3,36 A 45 AÑOS,CTA
856229,A1,36 A 45 AÑOS,CTA & TC
1144170,A3,36 A 45 AÑOS,CTA
999647,P2,EMPRESA,CTA
3181390,A3,MAYORES A 65 AÑOS,CTA
303974,A2,MAYORES A 65 AÑOS,CTA
276076,A2,MAYORES A 65 AÑOS,TC
835883,A3,MAYORES A 65 AÑOS,CTA
1302464,A3,MAYORES A 65 AÑOS,CTA
934512,A3,MAYORES A 65 AÑOS,CTA
532399,A2,MAYORES A 65 AÑOS,CTA & TC
3079456,A3,OTROS NO IDENTIFICADOS,CTA & TC
702908,A2,MAYORES A 65 AÑOS,CTA
3108099,A2,46 A 65 AÑOS,CTA & TC
3110274,A2,46 A 65 AÑOS,CTA
1334127,A2,46 A 65 AÑOS,CTA
2512004,A3,46 A 65 AÑOS,CTA & TC
1307008,A3,46 A 65 AÑOS,CTA
1215513,A2,46 A 65 AÑOS,CTA & TC
1315881,A3,46 A 65 AÑOS,CTA
838880,A3,36 A 45 AÑOS,CTA & TC
903170,A2,36 A 45 AÑOS,CTA
952847,A2,36 A 45 AÑOS,CTA & TC
530985,A2,46 A 65 AÑOS,CTA
1406553,A2,MAYORES A 65 AÑOS,TC
2129757,A3,31 A 35 AÑOS,CTA
2863330,A1,36 A 45 AÑOS,CTA & TC
1124077,A3,36 A 45 AÑOS,CTA
2350228,A3,31 A 35 AÑOS,CTA
3233952,A3,23 A 30 AÑOS,CTA & TC
3331421,A3,23 A 30 AÑOS,CTA & TC
2339545,A3,31 A 35 AÑOS,CTA
3976717,A3,18 A 22 AÑOS,CTA
3970891,A3,31 A 35 AÑOS,CTA
4199875,B1,EMPRESA,CTA
3910230,B1,EMPRESA,CTA
1712899,A1,MAYORES A 65 AÑOS,CTA & TC
235065,A3,MAYORES A 65 AÑOS,CTA
190347,A2,MAYORES A 65 AÑOS,CTA
83801,A3,MAYORES A 65 AÑOS,CTA
86382,A3,MAYORES A 65 AÑOS,CTA
170311,A3,MAYORES A 65 AÑOS,CTA & TC
23919,A3,36 A 45 AÑOS,CTA
3501201,A3,OTROS NO IDENTIFICADOS,CTA & TC
1367465,A3,OTROS NO IDENTIFICADOS,CTA & TC
2463502,A3,OTROS NO IDENTIFICADOS,CTA
1505408,P2,EMPRESA,CTA & TC
901568,P1,EMPRESA,CTA & TC
817265,P1,EMPRESA,CTA
321289,A3,46 A 65 AÑOS,CTA
267214,P2,EMPRESA,CTA
50932,P2,EMPRESA,CTA
394959,A3,46 A 65 AÑOS,CTA
186116,A2,MAYORES A 65 AÑOS,CTA
1223357,A3,MAYORES A 65 AÑOS,CTA
268962,A3,MAYORES A 65 AÑOS,CTA
409496,A3,MAYORES A 65 AÑOS,CTA
645730,A3,MAYORES A 65 AÑOS,CTA
325802,A1,MAYORES A 65 AÑOS,CTA & TC
611974,A2,MAYORES A 65 AÑOS,CTA
290422,A2,MAYORES A 65 AÑOS,CTA
382526,A2,MAYORES A 65 AÑOS,CTA & TC
2810729,A3,MAYORES A 65 AÑOS,CTA
1993447,A3,MAYORES A 65 AÑOS,CTA & TC
198890,A2,MAYORES A 65 AÑOS,CTA & TC
1678645,A1,MAYORES A 65 AÑOS,CTA
738802,A2,MAYORES A 65 AÑOS,CTA & TC
698111,A1,MAYORES A 65 AÑOS,CTA
1173588,A3,MAYORES A 65 AÑOS,CTA
1361363,A3,MAYORES A 65 AÑOS,CTA
863346,A2,MAYORES A 65 AÑOS,CTA & TC
1050641,A2,36 A 45 AÑOS,CTA
934844,A1,36 A 45 AÑOS,CTA & TC
1026096,A3,36 A 45 AÑOS,CTA
2566487,A2,36 A 45 AÑOS,CTA & TC
1138367,A3,36 A 45 AÑOS,CTA & TC
962018,A2,36 A 45 AÑOS,CTA & TC
588004,A3,36 A 45 AÑOS,CTA & TC
2891145,A3,46 A 65 AÑOS,CTA
1279162,A3,36 A 45 AÑOS,CTA
4121180,A2,31 A 35 AÑOS,CTA
1463329,A3,46 A 65 AÑOS,CTA
2873921,A1,36 A 45 AÑOS,CTA
914482,A1,36 A 45 AÑOS,CTA & TC
499028,A2,36 A 45 AÑOS,CTA
1148744,A2,36 A 45 AÑOS,CTA
925937,A2,36 A 45 AÑOS,CTA
3065008,A1,36 A 45 AÑOS,CTA
3374971,A3,36 A 45 AÑOS,CTA
4016504,A3,18 A 22 AÑOS,CTA
3525679,A3,23 A 30 AÑOS,CTA
968887,P1,EMPRESA,CTA
1496549,P2,EMPRESA,CTA
3944720,A3,46 A 65 AÑOS,CTA
4236411,A2,31 A 35 AÑOS,CTA
1360270,A3,36 A 45 AÑOS,CTA & TC
939916,A2,46 A 65 AÑOS,CTA
789659,A2,46 A 65 AÑOS,CTA & TC
746188,A2,46 A 65 AÑOS,CTA & TC
707270,A2,46 A 65 AÑOS,CTA & TC
756541,A3,46 A 65 AÑOS,CTA
229454,A3,MAYORES A 65 AÑOS,CTA & TC
442778,A1,MAYORES A 65 AÑOS,CTA
423899,A3,MAYORES A 65 AÑOS,CTA
487699,A1,MAYORES A 65 AÑOS,CTA & TC
554660,A1,MAYORES A 65 AÑOS,CTA
2506204,A2,MAYORES A 65 AÑOS,CTA
1499395,A3,46 A 65 AÑOS,CTA
657401,A2,MAYORES A 65 AÑOS,CTA
693100,A3,46 A 65 AÑOS,CTA
734164,A2,46 A 65 AÑOS,CTA
3298852,P1,EMPRESA,CTA & TC
3632120,A3,46 A 65 AÑOS,CTA
3730595,P2,EMPRESA,CTA
917509,P1,EMPRESA,CTA
2263951,P2,EMPRESA,CTA
612796,A2,46 A 65 AÑOS,CTA
512311,A2,46 A 65 AÑOS,CTA
649945,A2,46 A 65 AÑOS,CTA
3510460,A1,46 A 65 AÑOS,CTA
3514549,A2,46 A 65 AÑOS,CTA
1776946,A3,46 A 65 AÑOS,CTA
3380197,A3,36 A 45 AÑOS,CTA
2326057,A3,31 A 35 AÑOS,CTA
1840537,A1,31 A 35 AÑOS,CTA & TC
2174112,A3,31 A 35 AÑOS,CTA & TC
3955800,A3,31 A 35 AÑOS,CTA
4083197,A2,31 A 35 AÑOS,CTA
2877745,A3,31 A 35 AÑOS,CTA
2357990,A2,36 A 45 AÑOS,CTA & TC
2326641,A3,36 A 45 AÑOS,CTA
4381158,A3,18 A 22 AÑOS,CTA
3672864,A3,23 A 30 AÑOS,CTA & TC
4390235,A3,23 A 30 AÑOS,CTA
3929389,A3,31 A 35 AÑOS,CTA
3915711,A3,18 A 22 AÑOS,CTA
4079968,A3,23 A 30 AÑOS,CTA
4265481,A3,23 A 30 AÑOS,CTA
1771438,A2,MAYORES A 65 AÑOS,CTA & TC
159085,A2,MAYORES A 65 AÑOS,CTA
403917,A3,MAYORES A 65 AÑOS,CTA
23814,A3,MAYORES A 65 AÑOS,CTA
180223,A2,MAYORES A 65 AÑOS,CTA & TC
405234,A1,MAYORES A 65 AÑOS,TC
144675,A2,MAYORES A 65 AÑOS,CTA
140319,A2,OTROS NO IDENTIFICADOS,CTA & TC
3233473,P2,EMPRESA,CTA
1492052,E3,EMPRESA,CTA
3459484,B1,EMPRESA,CTA
726024,P2,EMPRESA,CTA
436872,P2,EMPRESA,CTA
765877,P1,EMPRESA,CTA
921886,A3,MAYORES A 65 AÑOS,CTA
9378,E1,EMPRESA,CTA & TC
231313,E3,EMPRESA,CTA & TC
4209265,B1,EMPRESA,CTA
2312233,B1,EMPRESA,CTA & TC
4329703,A3,18 A 22 AÑOS,CTA
2224486,B1,EMPRESA,CTA
3103832,B1,EMPRESA,CTA
1677169,A3,MAYORES A 65 AÑOS,CTA
995811,A3,MAYORES A 65 AÑOS,CTA
364731,A2,MAYORES A 65 AÑOS,CTA
1213700,A3,OTROS NO IDENTIFICADOS,CTA & TC
1456102,A3,OTROS NO IDENTIFICADOS,CTA & TC
1281058,A3,36 A 45 AÑOS,CTA
446914,A3,46 A 65 AÑOS,CTA
405212,A1,46 A 65 AÑOS,CTA
754343,A1,46 A 65 AÑOS,TC
745179,A2,46 A 65 AÑOS,CTA & TC
784822,A1,46 A 65 AÑOS,CTA
555084,A3,46 A 65 AÑOS,CTA
419596,A3,46 A 65 AÑOS,CTA
698431,A2,46 A 65 AÑOS,CTA & TC
30654,A3,MAYORES A 65 AÑOS,CTA
261734,A1,46 A 65 AÑOS,CTA
330087,A3,46 A 65 AÑOS,CTA
3667716,A1,36 A 45 AÑOS,CTA & TC
2743815,A3,36 A 45 AÑOS,CTA
1718441,A2,36 A 45 AÑOS,CTA
4045326,A3,18 A 22 AÑOS,CTA
4173948,A3,18 A 22 AÑOS,CTA
4145470,A2,18 A 22 AÑOS,CTA
3647995,A3,46 A 65 AÑOS,CTA
4187211,A3,MAYORES A 65 AÑOS,CTA
1339063,A3,46 A 65 AÑOS,CTA
1786910,A3,46 A 65 AÑOS,CTA
2711806,E2,EMPRESA,CTA
2404638,A1,MAYORES A 65 AÑOS,CTA & TC
661996,A3,MAYORES A 65 AÑOS,CTA
706555,P2,EMPRESA,CTA
1531529,B1,EMPRESA,CTA
698696,A3,MAYORES A 65 AÑOS,CTA
700436,A3,MAYORES A 65 AÑOS,CTA
611870,A2,MAYORES A 65 AÑOS,CTA
82034,A2,OTROS NO IDENTIFICADOS,CTA
498588,P2,EMPRESA,CTA & TC
842847,B1,EMPRESA,CTA & TC
829709,P2,EMPRESA,CTA
719886,A2,46 A 65 AÑOS,CTA
548180,A2,MAYORES A 65 AÑOS,CTA & TC
2668054,A2,23 A 30 AÑOS,CTA & TC
